Name,NumWords,FirstName,MiddleName,LastName
Eupraxia Mole,2,Eupraxia,,Mole
Mirabella Plunkett,2,Mirabella,,Plunkett
Artemisia Lufkin,2,Artemisia,,Lufkin
Niko Nenad,2,Niko,,Nenad
Musidora Barkwith,2,Musidora,,Barkwith
Karl Wang,2,Karl,,Wang
Iolanthe Peverell,2,Iolanthe,,Peverell
Dragomir Gorgovitch,2,Dragomir,,Gorgovitch
Eugenia Jenkins,2,Eugenia,,Jenkins
Charity Burbage,2,Charity,,Burbage
Randolph Pauncefoot,2,Randolph,,Pauncefoot
Teri Hudson,2,Teri,,Hudson
Elveira Elkins,2,Elveira,,Elkins
Mrs. Finnigan,2,Mrs.,,Finnigan
Kingsley Shacklebolt,2,Kingsley,,Shacklebolt
Agatha Timms,2,Agatha,,Timms
Thaddeus Thurkell,2,Thaddeus,,Thurkell
Mikhail Gorbachev,2,Mikhail,,Gorbachev
Abraham Potter,2,Abraham,,Potter
Andrew Kirke,2,Andrew,,Kirke
Cormac McLaggen,2,Cormac,,McLaggen
Dalai Lama,2,Dalai,,Lama
Hestia Jones,2,Hestia,,Jones
Christiano Ronaldo,2,Christiano,,Ronaldo
Felix Summerbee,2,Felix,,Summerbee
Jean-Baptiste Bloncourt,2,Jean-Baptiste,,Bloncourt
Dunbar Oglethorpe,2,Dunbar,,Oglethorpe
Otto Bagman,2,Otto,,Bagman
Winston Churchill,2,Winston,,Churchill
Katie Bell,2,Katie,,Bell
Garrick Ollivander,2,Garrick,,Ollivander
Sacha Baron Cohen,3,Sacha,Baron,Cohen
Alicia Spinnet,2,Alicia,,Spinnet
Leonard Spencer-Moon,2,Leonard,,Spencer-Moon
Rolf Scamander,2,Rolf,,Scamander
Severus Snape,2,Severus,,Snape
Mad-Eye Moody,2,Mad-Eye,,Moody
Pam Beesly,2,Pam,,Beesly
Madam Marsh,2,Madam,,Marsh
Gladys Boothby,2,Gladys,,Boothby
Nicolas Flamel,2,Nicolas,,Flamel
Tarquin McTavish,2,Tarquin,,McTavish
Crispin Cronk,2,Crispin,,Cronk
Ignotus Peverell,2,Ignotus,,Peverell
Helga Hufflepuff,2,Helga,,Hufflepuff
Mundungus Fletcher,2,Mundungus,,Fletcher
Norvel Twonk,2,Norvel,,Twonk
Josh Porter,2,Josh,,Porter
Agatha Chubb,2,Agatha,,Chubb
Samuel Equiano,2,Samuel,,Equiano
Pius Thicknesse,2,Pius,,Thicknesse
Hector Dagworth-Granger,2,Hector,,Dagworth-Granger
Marcus Flint,2,Marcus,,Flint
Darius Smackhammer,2,Darius,,Smackhammer
Cornelius Agrippa,2,Cornelius,,Agrippa
Laurena Kama,2,Laurena,,Kama
Edgar Stroulger,2,Edgar,,Stroulger
Catullus Spangle,2,Catullus,,Spangle
Peter Sellers,2,Peter,,Sellers
Coco Chanel,2,Coco,,Chanel
Elladora Guffy,2,Elladora,,Guffy
Cornelius Fudge,2,Cornelius,,Fudge
Rafael Santos,2,Rafael,,Santos
Michael Jackson,2,Michael,,Jackson
Darren O'Hare,2,Darren,,O'Hare
Steve Jobs,2,Steve,,Jobs
Desmond Tutu,2,Desmond,,Tutu
Bertram Aubrey,2,Bertram,,Aubrey
Luc Millefeuille,2,Luc,,Millefeuille
Sylvian Jolicoeur,2,Sylvian,,Jolicoeur
Damocles Rowle,2,Damocles,,Rowle
Abel Treetops,2,Abel,,Treetops
Cormack McLeod,2,Cormack,,McLeod
Carlos Lopez,2,Carlos,,Lopez
Fidel Castro,2,Fidel,,Castro
Angus McMangus,2,Angus,,McMangus
Myron Otherhaus,2,Myron,,Otherhaus
Glover Hipworth,2,Glover,,Hipworth
Deangelo Vickers,2,Deangelo,,Vickers
Aidan Lynch,2,Aidan,,Lynch
Creed Bratton,2,Creed,,Bratton
Silvanus Kettleburn,2,Silvanus,,Kettleburn
Hector Fawley,2,Hector,,Fawley
Ortiz O'Flaherty,2,Ortiz,,O'Flaherty
Ferdinand Jägendorf,2,Ferdinand,,Jägendorf
Sally-Anne Perks,2,Sally-Anne,,Perks
Al Gore,2,Al,,Gore
Bathilda Bagshot,2,Bathilda,,Bagshot
Bowman Wright,2,Bowman,,Wright
Queenie Goldstein,2,Queenie,,Goldstein
Herman Junker,2,Herman,,Junker
Pope Francis,2,Pope,,Francis
